household_ID,room_ID,ac_ID,type_of_the_ac,is_the_ac_inverter_or_not,is_room_fully_sealed,wattage_of_the_ac,btu_of_the_ac,no_of_hours_ac_was_on_during_daytime_last_week,no_of_hours_ac_was_on_during_night_last_week
ID0203,I_5,I_5_AC_1,4,1,3,1500.0,9000,1.0,2.0
ID0210,I_3,I_3_AC_1,1,1,1,0.0,12000,0.0,2.0
ID0210,I_4,I_4_AC_1,1,1,1,0.0,12000,0.0,70.0
ID0230,I_3,I_3_AC_1,3,2,1,0.0,999,0.0,0.0
ID0230,I_4,I_4_AC_1,3,2,1,0.0,999,0.0,0.0
ID0230,I_5,I_5_AC_1,3,2,1,0.0,999,0.0,0.0
ID0233,I_2,I_2_AC_1,3,1,1,0.0,999,0.0,0.0
ID0234,I_2,I_2_AC_1,1,1,1,0.0,999,0.0,0.0
ID0246,I_2,I_2_AC_1,3,2,1,0.0,999,28.0,84.0
ID0246,I_6,I_6_AC_1,3,2,1,0.0,999,0.0,0.0
ID0246,I_14,I_14_AC_1,3,2,1,0.0,999,0.0,0.0
ID0246,I_15,I_15_AC_1,4,2,1,0.0,999,0.0,0.0
ID0247,I_1,I_1_AC_1,3,1,1,18.0,18000,0.0,6.0
ID0247,I_2,I_2_AC_1,3,1,1,18.0,12000,0.0,9.0
ID0247,I_3,I_3_AC_1,3,1,1,12.0,10000,0.0,0.0
ID0247,I_4,I_4_AC_1,3,1,1,10.0,12000,0.0,8.0
ID0247,I_5,I_5_AC_1,3,1,1,0.0,10000,0.0,7.0
ID0247,I_7,I_7_AC_1,3,2,1,10.0,10000,0.0,0.0
ID0249,I_2,I_2_AC_1,4,1,1,0.0,999,0.0,64.0
ID0250,I_3,I_3_AC_1,1,1,1,0.0,18000,0.0,14.0
ID0254,I_5,I_5_AC_1,6,1,3,0.0,999,0.0,0.0
ID0255,I_5,I_5_AC_1,6,2,3,0.0,999,0.0,0.0
ID0257,I_2,I_2_AC_1,1,1,1,0.0,12000,0.0,0.0
ID0257,I_3,I_3_AC_1,1,1,1,0.0,12000,0.0,8.0
ID0258,I_3,I_3_AC_1,4,1,1,980.0,999,0.0,0.0
ID0260,I_3,I_3_AC_1,3,2,1,0.0,999,14.0,26.0
ID0264,I_2,I_2_AC_1,3,2,2,18.0,1000,7.0,7.0
ID0269,I_2,I_2_AC_1,1,1,1,0.0,999,0.0,10.0
ID0276,I_1,I_1_AC_1,3,2,3,0.0,999,14.0,0.0
ID0276,I_6,I_6_AC_1,3,2,1,0.0,999,14.0,14.0
ID0278,I_1,I_1_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_2,I_2_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_3,I_3_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_4,I_4_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_5,I_5_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_6,I_6_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_7,I_7_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_8,I_8_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_9,I_9_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_10,I_10_AC_1,1,2,1,0.0,999,0.0,4.0
ID0278,I_11,I_11_AC_1,1,2,1,0.0,999,0.0,4.0
ID0280,I_1,I_1_AC_1,4,1,1,1500.0,999,0.0,0.0
ID0280,I_2,I_2_AC_1,4,1,1,0.0,999,0.0,49.0
ID0280,I_3,I_3_AC_1,4,1,1,1500.0,999,0.0,0.0
ID0282,I_1,I_1_AC_1,1,2,1,0.0,999,0.0,0.0
